execution_order,source_priority,priority,build_id,pilar,component,method,current_quadrant,proposed_quadrant,proposed_concurrency,proposed_iterations,proposed_response_time,historical_quality,status,performance,error_count,p95_ms,approval_status
1,17,17,478133,OpenBanking,OpenBanking-HubDeDatos-Backend-EP,POST,2,5,medium,low,medium,0.937417,Success,1,0.0,751.0,human_review_required
2,10,10,442366,COE,COE-Backend-EP,unknown,5,5,medium,medium,medium,0.95825,Success,1,0.0,501.0,human_review_required
3,14,14,494047,OSS,OSS-LosBorbotones-Backend-EP,unknown,5,8,medium,medium,high,0.943667,Success,1,0.0,676.0,human_review_required
4,4,4,447585,Loyalty,Loyalty-Shelby-Backend-EP,unknown,6,6,high,medium,medium,0.96675,Success,1,0.0,399.0,human_review_required
5,9,9,443266,Loyalty,Loyalty-Shelby-Backend-EP,unknown,1,1,very_low,low,low,0.9625,Success,1,0.0,450.0,human_review_required
6,18,18,479170,Loyalty,Loyalty-TheOffice-Frontend-EP,GET,4,4,very_low,low,medium,0.935333,Success,1,0.0,776.0,human_review_required
7,12,12,467724,Loyalty,Loyalty-TheLastOfPlus-Backend-EP,unknown,4,4,low,low,medium,0.950917,Success,1,0.0,589.0,human_review_required
8,8,8,447643,Loyalty,Loyalty-TheLastOfPlus-Backend-EP,unknown,7,7,low,high,medium,0.965167,Success,1,0.0,418.0,human_review_required
9,20,20,491945,Loyalty,Loyalty-CommunityTeam-Frontend-EP,unknown,7,7,very_low,medium,high,0.90625,Success,1,0.0,1125.0,human_review_required
10,6,6,471585,Loyalty,Loyalty-CommunityTeam-Backend-EP,unknown,7,7,low,medium,very_high,0.96575,Success,1,0.0,411.0,human_review_required
11,5,5,483176,Loyalty,Loyalty-TheLastOfPlus-Frontend-EP,get,7,7,very_low,low,very_high,0.966167,Success,1,0.0,406.0,human_review_required
12,19,19,447840,Loyalty,Loyalty-TheOffice-Backend-EP,unknown,7,7,very_low,low,high,0.930417,Success,1,0.0,835.0,human_review_required
13,1,1,447155,Loyalty,Loyalty-Shelby-Backend-EP,unknown,7,7,very_low,medium,very_high,0.967833,Success,1,0.0,386.0,human_review_required
14,15,15,477013,OSS,OSS-Shazam-Frontend-EP,GET,7,7,low,low,very_high,0.943583,Success,1,0.0,677.0,human_review_required
15,16,16,468337,OSS,OSS-Shazam-Frontend-EP,GET,9,9,high,high,low,0.942833,Success,1,0.0,686.0,human_review_required
16,11,11,495876,COE,COE-Backend-EP,unknown,9,9,very_high,high,medium,0.955167,Success,1,0.0,538.0,human_review_required
17,7,7,484266,Loyalty,Loyalty-CommunityTeam-Backend-EP,post,9,9,high,high,high,0.965583,Success,1,0.0,413.0,human_review_required
18,13,13,485004,Loyalty,Loyalty-CommunityTeam-Backend-EP,unknown,6,9,high,medium,high,0.9505,Success,1,0.0,594.0,human_review_required
19,2,2,462262,Loyalty,Loyalty-SuperDruperKit-Backend-EP,unknown,9,9,high,medium,very_high,0.967417,Success,1,0.0,391.0,human_review_required
20,3,3,454448,Loyalty,Loyalty-SuperDruperKit-Backend-EP,unknown,9,9,high,high,medium,0.967167,Success,1,0.0,394.0,human_review_required
