iteration,best_score,mean_score
0,0.66675319,0.61024378
1,0.66675319,0.61257478
2,0.66675319,0.6150784
3,0.66675319,0.61622956
4,0.67113014,0.62408694
5,0.67959128,0.62654592
6,0.67959128,0.62919933
7,0.69027507,0.63968656
8,0.69027507,0.64083685
9,0.70121978,0.64979296
10,0.70121978,0.65030716
11,0.70121978,0.66084722
12,0.70231483,0.66504578
13,0.71206689,0.66865813
14,0.71206689,0.67809706
15,0.71206689,0.6788993
16,0.71892513,0.68544671
17,0.71892513,0.68804398
18,0.71892513,0.68890594
19,0.72207237,0.69363968
20,0.72411229,0.69737295
21,0.72560067,0.70553104
22,0.72985472,0.70256572
23,0.72985472,0.70934388
24,0.73070394,0.71500257
25,0.73070394,0.71514167
26,0.73070394,0.71491159
27,0.73070394,0.71931412
28,0.73070394,0.72172756
29,0.73070394,0.72152017
30,0.73070394,0.7238503
31,0.73070394,0.72414422
32,0.73070394,0.72626407
33,0.73070394,0.72773193
34,0.73070394,0.72754877
35,0.73070394,0.72767895
36,0.73070394,0.72980391
37,0.73070394,0.73020525
38,0.73070394,0.73026956
39,0.73070394,0.73021267
40,0.73070394,0.72930902
41,0.73070394,0.73053404
42,0.73070394,0.73006979
43,0.73070394,0.73035682
44,0.73070394,0.73070394
45,0.73070394,0.73070394
46,0.73070394,0.73070394
47,0.73070394,0.73070394
48,0.73070394,0.73070394
49,0.73070394,0.73070394
50,0.73070394,0.73070394
51,0.73070394,0.73070394
52,0.73070394,0.73070394
53,0.73070394,0.73070394
54,0.73070394,0.73070394
55,0.73070394,0.73070394
56,0.73070394,0.73070394
57,0.73070394,0.73070394
58,0.73070394,0.73070394
59,0.73070394,0.73070394
60,0.73070394,0.73070394
61,0.73070394,0.73070394
62,0.73070394,0.73070394
63,0.73070394,0.73070394
64,0.73070394,0.73070394
65,0.73070394,0.73070394
66,0.73070394,0.73070394
67,0.73070394,0.73070394
68,0.73070394,0.73070394
69,0.73070394,0.73070394
70,0.73070394,0.73070394
71,0.73070394,0.73070394
72,0.73070394,0.73070394
73,0.73070394,0.73070394
74,0.73070394,0.73070394
75,0.73070394,0.73070394
76,0.73070394,0.73070394
77,0.73070394,0.73070394
78,0.73070394,0.73070394
79,0.73070394,0.73070394
80,0.73070394,0.73070394
81,0.73070394,0.73070394
82,0.73070394,0.73070394
83,0.73070394,0.73070394
84,0.73070394,0.73070394
85,0.73070394,0.73070394
86,0.73070394,0.73070394
87,0.73070394,0.73070394
88,0.73070394,0.73070394
89,0.73070394,0.73070394
90,0.73070394,0.73070394
91,0.73070394,0.73070394
92,0.73070394,0.73070394
93,0.73070394,0.73070394
94,0.73070394,0.73070394
95,0.73070394,0.73070394
96,0.73070394,0.73070394
97,0.73070394,0.73070394
98,0.73070394,0.73070394
99,0.73070394,0.73070394
