generation,best_fitness,mean_fitness
0,0.931535,0.76655789
1,0.931535,0.81065284
2,0.931535,0.85321674
3,0.94172667,0.85380666
4,0.94172667,0.86896928
5,0.944105,0.87632404
6,0.9574075,0.88511398
7,0.9574075,0.88194471
8,0.9574075,0.8772209
9,0.96149667,0.87559824
10,0.96149667,0.88995689
11,0.96149667,0.89588196
12,0.96177167,0.89470735
13,0.96754083,0.89726465
14,0.96754083,0.89181904
15,0.96754083,0.90211906
16,0.96754083,0.88779597
17,0.96925,0.89957483
18,0.96925,0.89947956
19,0.96930083,0.90340845
20,0.96930083,0.90351241
21,0.9697375,0.90352865
22,0.9697375,0.90180619
23,0.9697375,0.90431375
24,0.9697375,0.90164327
25,0.96991833,0.90575271
26,0.96991833,0.89985309
27,0.96991833,0.89654
28,0.96991833,0.89598382
29,0.96991833,0.9092821
30,0.96991833,0.88884515
31,0.96991833,0.89504084
32,0.97478917,0.89741085
33,0.9749,0.89697772
34,0.9749,0.90193417
35,0.9749,0.8972376
36,0.9749,0.90085144
37,0.9749,0.89114789
38,0.9749,0.90217802
39,0.9749,0.90348501
40,0.9749,0.89970318
41,0.9749,0.90437839
42,0.9749,0.9086972
43,0.9750275,0.9089779
44,0.98024917,0.90405922
45,0.98024917,0.90709471
46,0.98024917,0.89855757
47,0.98024917,0.9143568
48,0.98024917,0.89373133
49,0.98032417,0.90941375
50,0.98032417,0.90469845
51,0.98032417,0.91306232
52,0.98032417,0.9004612
53,0.98032417,0.90477153
54,0.98032417,0.91275892
55,0.98032417,0.90431323
56,0.98032417,0.9129081
57,0.98032417,0.90216977
58,0.98032417,0.90519016
59,0.98525417,0.9067206
60,0.98525417,0.9167149
61,0.98525417,0.9105255
62,0.98525417,0.90808307
63,0.98525417,0.91438183
64,0.98525417,0.9108889
65,0.98525417,0.90128619
66,0.98525417,0.90787613
67,0.98525417,0.90513109
68,0.98525417,0.91012392
69,0.98525417,0.90688237
70,0.98525417,0.89455321
71,0.98525417,0.907782
72,0.98525417,0.91331134
73,0.98525417,0.91475478
74,0.98525417,0.91058538
75,0.98525417,0.91457344
76,0.98533833,0.91489623
77,0.99026833,0.91466775
78,0.99026833,0.92456228
79,0.99026833,0.91961462
80,0.99026833,0.91256999
81,0.99026833,0.92175072
82,0.99026833,0.9129402
83,0.99026833,0.91865594
84,0.99026833,0.91319881
85,0.99026833,0.92271277
86,0.99026833,0.91291641
87,0.99026833,0.90264877
88,0.99026833,0.90461286
89,0.99026833,0.89858176
90,0.99026833,0.9114785
91,0.99026833,0.90831421
92,0.99026833,0.90394354
93,0.99026833,0.90468565
94,0.99026833,0.90720032
95,0.99026833,0.92007374
96,0.99026833,0.91512261
97,0.99026833,0.90458686
98,0.99026833,0.90878885
99,0.99026833,0.92089763
100,0.99026833,0.92044156
101,0.99026833,0.92506701
102,0.99026833,0.92144746
103,0.99026833,0.91923302
104,0.99026833,0.91558929
105,0.99026833,0.90896194
106,0.99026833,0.90965578
107,0.99026833,0.91101393
108,0.99026833,0.91051183
109,0.99026833,0.91524275
110,0.99026833,0.91609568
111,0.99026833,0.9195589
112,0.99026833,0.90558228
113,0.99026833,0.91030697
114,0.99026833,0.92387442
115,0.99026833,0.90938619
116,0.99026833,0.90252891
117,0.99026833,0.9197159
118,0.99026833,0.91256754
119,0.99026833,0.90618382
120,0.99026833,0.89626267
